wc_year,elo_rank,elo_code,team_name,iso3,elo_rating,group_stage_exit,underperformed,fifa_global_rank,fifa_wc_rank,fifa_points,top10_fifa,underperf_fifa,rank_diff,label_differs
1962,1,BR,Brazil,BRA,2104,0,0,NA,NA,NA,0,0,NA,NA
1962,2,SU,Soviet Union,RUS,2032,0,0,NA,NA,NA,0,0,NA,NA
1962,3,YU,Yugoslavia,SRB,1983,0,0,NA,NA,NA,0,0,NA,NA
1962,4,AR,Argentina,ARG,1979,1,1,NA,NA,NA,0,0,NA,NA
1962,5,CS,Czechoslovakia,CZE,1977,0,0,NA,NA,NA,0,0,NA,NA
1962,6,ES,Spain,ESP,1963,1,1,NA,NA,NA,0,0,NA,NA
1962,7,HU,Hungary,HUN,1940,0,0,NA,NA,NA,0,0,NA,NA
1962,8,EN,England,GBR,1923,0,0,NA,NA,NA,0,0,NA,NA
1962,9,UY,Uruguay,URY,1905,1,1,NA,NA,NA,0,0,NA,NA
1962,10,WG,West Germany,DEU,1900,0,0,NA,NA,NA,0,0,NA,NA
1966,1,BR,Brazil,BRA,2010,1,1,NA,NA,NA,0,0,NA,NA
1966,2,SU,Soviet Union,RUS,2003,0,0,NA,NA,NA,0,0,NA,NA
1966,3,EN,England,GBR,1991,0,0,NA,NA,NA,0,0,NA,NA
1966,4,IT,Italy,ITA,1979,1,1,NA,NA,NA,0,0,NA,NA
1966,5,AR,Argentina,ARG,1973,0,0,NA,NA,NA,0,0,NA,NA
1966,6,WG,West Germany,DEU,1959,0,0,NA,NA,NA,0,0,NA,NA
1966,7,HU,Hungary,HUN,1955,0,0,NA,NA,NA,0,0,NA,NA
1966,8,ES,Spain,ESP,1895,1,1,NA,NA,NA,0,0,NA,NA
1966,9,MX,Mexico,MEX,1868,1,1,NA,NA,NA,0,0,NA,NA
1966,10,UY,Uruguay,URY,1848,0,0,NA,NA,NA,0,0,NA,NA
1970,1,EN,England,GBR,2070,0,0,NA,NA,NA,0,0,NA,NA
1970,2,BR,Brazil,BRA,2011,0,0,NA,NA,NA,0,0,NA,NA
1970,3,IT,Italy,ITA,2007,0,0,NA,NA,NA,0,0,NA,NA
1970,4,WG,West Germany,DEU,1998,0,0,NA,NA,NA,0,0,NA,NA
1970,5,CS,Czechoslovakia,CZE,1963,1,1,NA,NA,NA,0,0,NA,NA
1970,6,SU,Soviet Union,RUS,1936,0,0,NA,NA,NA,0,0,NA,NA
1970,7,UY,Uruguay,URY,1867,0,0,NA,NA,NA,0,0,NA,NA
1970,8,SE,Sweden,SWE,1846,1,1,NA,NA,NA,0,0,NA,NA
1970,9,BG,Bulgaria,BGR,1824,1,1,NA,NA,NA,0,0,NA,NA
1970,10,RO,Romania,ROU,1784,1,1,NA,NA,NA,0,0,NA,NA
1974,1,BR,Brazil,BRA,2117,0,0,NA,NA,NA,0,0,NA,NA
1974,2,WG,West Germany,DEU,2112,0,0,NA,NA,NA,0,0,NA,NA
1974,3,IT,Italy,ITA,2002,1,1,NA,NA,NA,0,0,NA,NA
1974,4,PL,Poland,POL,1959,0,0,NA,NA,NA,0,0,NA,NA
1974,5,DD,East Germany,DEU,1940,0,0,NA,NA,NA,0,0,NA,NA
1974,6,YU,Yugoslavia,SRB,1936,0,0,NA,NA,NA,0,0,NA,NA
1974,7,AR,Argentina,ARG,1895,0,0,NA,NA,NA,0,0,NA,NA
1974,8,SE,Sweden,SWE,1888,0,0,NA,NA,NA,0,0,NA,NA
1974,9,NL,Netherlands,NLD,1843,0,0,NA,NA,NA,0,0,NA,NA
1974,10,SQ,Scotland,GBR,1826,1,1,NA,NA,NA,0,0,NA,NA
1978,1,WG,West Germany,DEU,2098,0,0,NA,NA,NA,0,0,NA,NA
1978,2,NL,Netherlands,NLD,2093,0,0,NA,NA,NA,0,0,NA,NA
1978,3,BR,Brazil,BRA,2080,0,0,NA,NA,NA,0,0,NA,NA
1978,4,ES,Spain,ESP,1961,1,1,NA,NA,NA,0,0,NA,NA
1978,5,SQ,Scotland,GBR,1944,1,1,NA,NA,NA,0,0,NA,NA
1978,6,IT,Italy,ITA,1937,0,0,NA,NA,NA,0,0,NA,NA
1978,7,PL,Poland,POL,1928,0,0,NA,NA,NA,0,0,NA,NA
1978,8,AR,Argentina,ARG,1926,0,0,NA,NA,NA,0,0,NA,NA
1978,9,HU,Hungary,HUN,1907,1,1,NA,NA,NA,0,0,NA,NA
1978,10,FR,France,FRA,1891,1,1,NA,NA,NA,0,0,NA,NA
1982,1,WG,West Germany,DEU,2111,0,0,NA,NA,NA,0,0,NA,NA
1982,2,BR,Brazil,BRA,2093,0,0,NA,NA,NA,0,0,NA,NA
1982,3,SU,Soviet Union,RUS,2013,0,0,NA,NA,NA,0,0,NA,NA
1982,4,AR,Argentina,ARG,2005,0,0,NA,NA,NA,0,0,NA,NA
1982,5,EN,England,GBR,1963,0,0,NA,NA,NA,0,0,NA,NA
1982,6,PL,Poland,POL,1958,0,0,NA,NA,NA,0,0,NA,NA
1982,7,AT,Austria,AUT,1919,0,0,NA,NA,NA,0,0,NA,NA
1982,8,YU,Yugoslavia,SRB,1917,1,1,NA,NA,NA,0,0,NA,NA
1982,9,BE,Belgium,BEL,1916,0,0,NA,NA,NA,0,0,NA,NA
1982,10,CS,Czechoslovakia,CZE,1896,1,1,NA,NA,NA,0,0,NA,NA
1986,1,FR,France,FRA,1995,0,0,NA,NA,NA,0,0,NA,NA
1986,2,EN,England,GBR,1990,0,0,NA,NA,NA,0,0,NA,NA
1986,3,WG,West Germany,DEU,1940,0,0,NA,NA,NA,0,0,NA,NA
1986,3,SU,Soviet Union,RUS,1940,0,0,NA,NA,NA,0,0,NA,NA
1986,5,BR,Brazil,BRA,1915,0,0,NA,NA,NA,0,0,NA,NA
1986,6,ES,Spain,ESP,1901,0,0,NA,NA,NA,0,0,NA,NA
1986,7,DK,Denmark,DNK,1893,0,0,NA,NA,NA,0,0,NA,NA
1986,8,HU,Hungary,HUN,1891,1,1,NA,NA,NA,0,0,NA,NA
1986,9,IT,Italy,ITA,1884,0,0,NA,NA,NA,0,0,NA,NA
1986,10,SQ,Scotland,GBR,1874,1,1,NA,NA,NA,0,0,NA,NA
1986,10,AR,Argentina,ARG,1874,0,0,NA,NA,NA,0,0,NA,NA
1990,1,NL,Netherlands,NLD,2033,0,0,NA,NA,NA,0,0,NA,NA
1990,2,WG,West Germany,DEU,1995,0,0,NA,NA,NA,0,0,NA,NA
1990,3,BR,Brazil,BRA,1993,0,0,NA,NA,NA,0,0,NA,NA
1990,4,IT,Italy,ITA,1966,0,0,NA,NA,NA,0,0,NA,NA
1990,5,SE,Sweden,SWE,1952,1,1,NA,NA,NA,0,0,NA,NA
1990,6,EN,England,GBR,1944,0,0,NA,NA,NA,0,0,NA,NA
1990,7,SU,Soviet Union,RUS,1943,1,1,NA,NA,NA,0,0,NA,NA
1990,8,ES,Spain,ESP,1927,0,0,NA,NA,NA,0,0,NA,NA
1990,9,RO,Romania,ROU,1893,0,0,NA,NA,NA,0,0,NA,NA
1990,9,UY,Uruguay,URY,1893,0,0,NA,NA,NA,0,0,NA,NA
1990,9,YU,Yugoslavia,SRB,1893,0,0,NA,NA,NA,0,0,NA,NA
1994,1,DE,Germany,DEU,2010,0,0,2,2,59,1,0,-1,0
1994,2,NL,Netherlands,NLD,1991,0,0,11,10,53,1,0,-8,0
1994,3,IT,Italy,ITA,1987,0,0,16,13,50,0,0,-10,0
1994,4,BR,Brazil,BRA,1964,0,0,1,1,59,1,0,3,0
1994,5,CO,Colombia,COL,1945,1,1,18,14,50,0,0,-9,1
1994,6,AR,Argentina,ARG,1914,0,0,6,5,55,1,0,1,0
1994,7,SE,Sweden,SWE,1906,0,0,3,3,57,1,0,4,0
1994,8,ES,Spain,ESP,1893,0,0,9,8,54,1,0,0,0
1994,9,CH,Switzerland,CHE,1874,0,0,8,7,54,1,0,2,0
1994,10,RU,Russia,RUS,1867,1,1,20,15,49,0,0,-5,1
1998,1,BR,Brazil,BRA,2092,0,0,1,1,72,1,0,0,0
1998,2,DE,Germany,DEU,2059,0,0,2,2,65,1,0,0,0
1998,3,ES,Spain,ESP,2040,1,1,15,14,56,0,0,-11,1
1998,4,FR,France,FRA,2002,0,0,18,15,56,0,0,-11,0
1998,5,EN,England,GBR,1974,0,0,5,4,60,1,0,1,0
1998,6,IT,Italy,ITA,1972,0,0,14,13,57,0,0,-7,0
1998,7,YU,Yugoslavia,SRB,1969,0,0,8,7,59,1,0,0,0
1998,8,NL,Netherlands,NLD,1959,0,0,25,21,54,0,0,-13,0
1998,9,NO,Norway,NOR,1903,0,0,7,6,60,1,0,3,0
1998,10,AR,Argentina,ARG,1893,0,0,6,5,60,1,0,5,0
2002,1,FR,France,FRA,2093,1,1,1,1,802,1,1,0,0
2002,2,AR,Argentina,ARG,2020,1,1,3,3,784,1,1,-1,0
2002,3,IT,Italy,ITA,2009,0,0,6,5,717,1,0,-2,0
2002,4,PT,Portugal,PRT,1978,1,1,5,4,726,1,1,0,0
2002,5,ES,Spain,ESP,1963,0,0,8,7,713,1,0,-2,0
2002,6,EN,England,GBR,1924,0,0,12,9,694,1,0,-3,0
2002,7,HR,Croatia,HRV,1881,1,1,21,16,655,0,0,-9,1
2002,8,IE,Republic of Ireland,IRL,1872,0,0,15,11,674,0,0,-3,0
2002,9,DE,Germany,DEU,1869,0,0,11,8,695,1,0,1,0
2002,10,BR,Brazil,BRA,1867,0,0,2,2,784,1,0,8,0
2006,1,BR,Brazil,BRA,2034,0,0,1,1,827,1,0,0,0
2006,2,NL,Netherlands,NLD,1994,0,0,3,3,768,1,0,-1,0
2006,3,EN,England,GBR,1972,0,0,10,10,741,1,0,-7,0
2006,4,CZ,Czech Republic,CZE,1971,1,1,2,2,772,1,1,2,0
2006,4,FR,France,FRA,1971,0,0,8,8,749,1,0,-4,0
2006,6,ES,Spain,ESP,1964,0,0,5,6,756,1,0,0,0
2006,7,IT,Italy,ITA,1943,0,0,13,11,728,0,0,-4,0
2006,8,AR,Argentina,ARG,1922,0,0,9,9,746,1,0,-1,0
2006,9,PT,Portugal,PRT,1916,0,0,7,7,750,1,0,2,0
2006,10,DE,Germany,DEU,1895,0,0,19,14,696,0,0,-4,0
2010,1,ES,Spain,ESP,2112,0,0,2,2,1565,1,0,-1,0
2010,2,BR,Brazil,BRA,2110,0,0,1,1,1611,1,0,1,0
2010,3,NL,Netherlands,NLD,2043,0,0,4,4,1231,1,0,-1,0
2010,4,EN,England,GBR,2001,0,0,8,8,1068,1,0,-4,0
2010,5,DE,Germany,DEU,1957,0,0,6,6,1082,1,0,-1,0
2010,6,IT,Italy,ITA,1936,1,1,5,5,1184,1,1,1,0
2010,7,AR,Argentina,ARG,1921,0,0,7,7,1076,1,0,0,0
2010,8,MX,Mexico,MEX,1898,0,0,17,14,895,0,0,-6,0
2010,9,CL,Chile,CHL,1886,0,0,18,15,888,0,0,-6,0
2010,10,PT,Portugal,PRT,1877,0,0,3,3,1249,1,0,7,0
2014,1,BR,Brazil,BRA,2138,0,0,3,3,1242,1,0,-2,0
2014,2,ES,Spain,ESP,2108,1,1,1,1,1485,1,1,1,0
2014,3,DE,Germany,DEU,2073,0,0,2,2,1300,1,0,1,0
2014,4,AR,Argentina,ARG,2018,0,0,5,5,1175,1,0,-1,0
2014,5,NL,Netherlands,NLD,1986,0,0,15,15,981,0,0,-10,0
2014,6,PT,Portugal,PRT,1942,1,1,4,4,1189,1,1,2,0
2014,7,EN,England,GBR,1931,1,1,10,10,1090,1,1,-3,0
2014,8,CO,Colombia,COL,1922,0,0,8,8,1137,1,0,0,0
2014,9,CL,Chile,CHL,1920,0,0,14,14,1026,0,0,-5,0
2014,10,UY,Uruguay,URY,1918,0,0,7,7,1147,1,0,3,0
2018,1,BR,Brazil,BRA,2141,0,0,2,2,1431,1,0,-1,0
2018,2,DE,Germany,DEU,2076,1,1,1,1,1558,1,1,1,0
2018,3,ES,Spain,ESP,2043,0,0,10,9,1126,1,0,-6,0
2018,4,FR,France,FRA,1986,0,0,7,7,1198,1,0,-3,0
2018,5,AR,Argentina,ARG,1985,0,0,5,5,1241,1,0,0,0
2018,6,PT,Portugal,PRT,1968,0,0,4,4,1274,1,0,2,0
2018,7,EN,England,GBR,1947,0,0,12,12,1051,0,0,-5,0
2018,8,BE,Belgium,BEL,1936,0,0,3,3,1298,1,0,5,0
2018,9,CO,Colombia,COL,1927,0,0,16,15,986,0,0,-6,0
2018,10,PE,Peru,PER,1915,1,1,11,10,1125,1,1,0,0
2022,1,BR,Brazil,BRA,2169,0,0,1,1,1841.3,1,0,0,0
2022,2,AR,Argentina,ARG,2143,0,0,3,3,1773.88,1,0,-1,0
2022,3,ES,Spain,ESP,2049,0,0,7,6,1715.22,1,0,-3,0
2022,4,NL,Netherlands,NLD,2040,0,0,8,7,1694.51,1,0,-3,0
2022,5,BE,Belgium,BEL,2006,1,1,2,2,1816.71,1,1,3,0
2022,6,PT,Portugal,PRT,2005,0,0,9,8,1676.56,1,0,-2,0
2022,7,FR,France,FRA,2004,0,0,4,4,1759.78,1,0,3,0
2022,8,DK,Denmark,DNK,1971,1,1,10,9,1666.57,1,1,-1,0
2022,9,DE,Germany,DEU,1962,1,1,11,10,1650.21,1,1,-1,0
2022,10,UY,Uruguay,URY,1936,1,1,14,13,1638.71,0,0,-3,1
